0	零 líng
1	一 yī
2	二 èr
3	三 sān
4	四 sì
5	五 wǔ
6	六 liù
7	七 qī
8	八 bā
9	九 jiǔ
10	十 shí
100	百 bǎi or 一百 yìbǎi
18	十八 shíbā
30	三十 sānshí
56	五十六 wǔshíliù
¥8	八元 bā yuán
¥40	四十元 sìshí yuán
¥83	八十三 元 bāshísān yuán
One time	一次 yīcì
One book	一本书 yīběn shū
One two three four	一二三四  (yī èr sān sì)
What’s your name?	你叫什么？ Nǐ jiào shénme?
Hua Lee	李华。 Lǐ Huá.
What’s your family name?	你姓什么？ Nǐ xìng shénme?
My name is Lev, and you?	我的名字是列夫, 你呢？Wǒ de míngzì shì liè fū. nǐ ne?
I/me	我  wǒ
you	你  nǐ
you (polite)	您  nín
he/him	他  tā
she/her	她  tā
it	它  tā
we/us	我们  wǒmen
you (plural)	你们  nǐmen
they/them (a group of males or a mixed group)	他们  tāmen
they/them (a group of females)	她们  tāmen
they (plural it)	它们  tāmen
What’s your name? (literal translation: What are you called?)	你叫什么？Nǐ jiào shénme?
What’s your name? (literal translation: What name are you called?)	你叫什么名字？Nǐ jiào shénme míngzì?
What’s his surname? (literal translation: What is he surnamed?”)	他姓什么？Tā xìng shénme?
I am good. (I very good)	我很好。Wǒ hěn hǎo.
You are happy. (You very happy)	你很高兴。Nǐ hěn gāoxìng.
I am happy. (I very happy)	我很高兴。 Wǒ hěn gāoxìng.
I am also happy. (I also very happy)	我也很高兴。Wǒ yě hěn gāoxìng.
If you are happy then (also) I am happy.	你高兴，我也高兴。Nǐ gāoxìng, wǒ[wó] yě gāoxìng.
If I am happy then (also) he is happy.	我高兴，他也高兴。 Wǒ gāo xìng, tā yě gāoxìng
I am very happy how about you?	我很高兴，你呢？ Wǒ hěn gāoxìng, nǐ ne?
I am also very happy to meet you.	我也很高兴认识你。 Wǒ yě hěn gāoxìng rènshí nǐ.
You are very happy, I am also very happy.	你很高兴，我也很高兴。 Nǐ hěn gāoxìng, wǒ yě hěn gāoxìng.
My last name is also Li, I'm pleased to meet you!	我的姓氏也叫李，很高兴认识您！ Wǒ de xìngshì yě jiào lǐ, hěn gāoxìng rènshí nín!
My surname is Li, so nice to meet you!	我也姓李，认识你很高兴！ Wǒ yě xìng lǐ, rènshí nǐ hěn gāoxìng.
My surname is Lafayette, so nice to meet you!	我的姓是拉斐特，很高兴认识你！Wǒ de xìng shì lā fěi tè, hěn gāoxìng rènshí nǐ!
I also know Zhang Ming.	我也认识张明 Wǒ yě rènshí zhāng míng
I know you, your surname is Wang!	我认识你，你姓王！ Wǒ rènshí nǐ, nǐ xìng wáng!
I know Li Hua, how about you?	我认识李华，你呢？ Wǒ rènshí Lǐ Huá, nǐ ne?
Hello there! I am also glad to meet you!	你好！我也很高兴认识你！ Nǐ hǎo! Wǒ yě hěn gāoxìng rènshí nǐ!
tea and water	茶和水  chá hé shuǐ
tea and coffee	茶和咖啡 chá hé kāfēi
This is iced tea.	这是冰茶。Zhè shì bīng chá.
This is water.	这是水。 Zhè shì shuǐ.
Your soup	你的汤 Nǐ de tāng
This is your water.	这是你的水。 Zhè shì nǐ de shuǐ.
My tea.	我的茶。Wǒ de chá.
Your water.	你的水。Nǐ de shuǐ. 
The doctor’s phone number.	医生的电话号码。Yīshēng de diànhuà hàomǎ.
Her student.	她的学生。 Tā de xuéshēng.
I eat noodles.	我吃面。Wǒ chī miàn.
I don’t eat noodles.	我不吃面。 Wǒ bù chī miàn.
You drink tea, too.	你也喝茶。 Nǐ yě hēchá.
You also don’t drink tea	你也不喝茶。 Nǐ yě bù hēchá.
What do you eat?	你吃什么？Nǐ chī shénme?
You eat noodles	你吃面条 Nǐ chī miàntiáo
 I am also eating rice.	我也在吃米饭。Wǒ yě zài chī mǐfàn.
You eat fish	你吃鱼。Nǐ chī yú
You also eat fish.	你也吃鱼 Nǐ yě chī yú
I eat noodles, what do you eat?	我吃面条，你吃什么？Wǒ chī miàntiáo, nǐ chī shénme?
I don't drink tea, I drink water.	我不喝茶，我喝水。 Wǒ bù hē chá, wǒ hē shuǐ.
I don't eat noodles, how about you?	我不吃面，你呢？ Wǒ bù chī miàn, nǐ ne?
I drink water, what do you drink?	我喝水，你喝什么？Wǒ hē shuǐ, nǐ hē shénme?
China and America	中国和美国 Zhōngguó hé měiguó
This is America.	这是美国。 Zhè shì měiguó.
Hello, I am Chinese.	你好，我是中国人。 Nǐ hǎo, wǒ shì zhōngguó rén.
Hello, I am Australian	你好，我是澳大利亚人 Nǐ hǎo, wǒ shì àodàlìyǎ rén.
We are Australians.	我们是澳大利亚人。 Wǒmen shì àodàlìyǎ rén.
Hello, I am a New Zealander	你好，我是新西兰人 Nǐ hǎo, wǒ shì xīnxīlán rén 
Hello, I am British.	你好，我是英国人。Nǐ hǎo, wǒ shì yīngguó rén.
 I am American, and you?	我是美国人，你呢？ Wǒ shì měiguó rén, nǐ ne?
I am Italian.	我是意大利人。 Wǒ shì yìdàlì rén.
I am German	我是德国人. Wǒ shì déguó rén.
I am a doctor.	我是医生。 Wǒ shì yīshēng.
He is a student.	他是学生。 Tā shì xuéshēng.
You are happy.	你很高兴。 Nǐ hěn gāoxìng.
Am I a doctor?	我是医生吗？  Wǒ shì yīshēng ma?
Is he a student?	他是学生吗？ Tā shì xuéshēng ma?
I am a legal secretary.	我是法律秘书。 Wǒ shì fǎlǜ mìshū.
Are you happy?	你高兴吗？ Nǐ gāoxìng ma?
I am a Chinese teacher, and you?	我是一名语文老师，你呢？ Wǒ shì yī míng yǔwén lǎoshī, nǐ ne?
I'm a doctor.	我是医生。 Wǒ shì yīshēng.
You are an English teacher, right? 	你是英文老师，对不对？ Nǐ shì yīngyǔ lǎoshī, duì bu dui?
I am a computer engineer.	我是计算机工程师. Wǒ shì jìsuànjī gōngchéngshī 
I speak Chinese, and you? 	我说中文，你呢？ Wǒ shuō zhōngwén, nǐ ne? 
I speak English.	我说英文。Wǒ shuō yīngwén.
I like Japanese food.	我喜欢日本菜。 Wǒ xǐhuān rìběn cài 
I like hamburgers	我喜欢汉堡包！Wǒ xǐhuān hànbǎobāo!
